Filter started
Not valid 23381
Not valid 23387
Not valid 23399
Not valid 23420
Not valid 23425
Not valid 23431
Not valid 23437
Not valid 23452
Not valid 23470
Not valid 23481
Not valid 23482
Not valid 23499
Not valid 23520
Not valid 23543
Not valid 23574
Not valid 23579
Not valid 23597
Not valid 23624
Not valid 23626
Not valid 23644
Not valid 23653
Not valid 23656
Not valid 23662
Not valid 23664
Not valid 23675
Not valid 23677
Not valid 23705
Not valid 23742
Not valid 23754
Not valid 23781
Not valid 23792
Not valid 23793
Not valid 23798
Not valid 23800
Not valid 23813
Not valid 23815
Not valid 23820
Not valid 23823
Not valid 23854
Not valid 23870
Not valid 23872
Not valid 23876
Not valid 23884
Not valid 23891
Not valid 23898
Not valid 23902
Not valid 23928
Not valid 23946
Not valid 23967
Not valid 23979
Not valid 23982
Not valid 23983
Not valid 23990
Not valid 24021
Not valid 24023
Not valid 24032
Not valid 24062
Not valid 24096
Not valid 24132
Not valid 24138
Not valid 24140
Not valid 24146
Not valid 24149
Not valid 24183
Not valid 24199
Not valid 24208
Not valid 24254
Not valid 24260
Not valid 24261
Not valid 24291
Not valid 24305
Not valid 24308
Not valid 24344
Not valid 24351
Not valid 24362
Not valid 24388
Not valid 24398
Not valid 24406
Not valid 24407
Not valid 24424
Not valid 24428
Not valid 24450
Not valid 24457
Not valid 24473
Not valid 24484
Not valid 24493
Not valid 24495
Not valid 24507
Not valid 24521
Not valid 24525
Not valid 24530
Not valid 24549
Not valid 24559
Not valid 24573
Not valid 24575
Not valid 24578
Not valid 24580
Not valid 24598
Not valid 24604
Not valid 24618
Not valid 24648
Not valid 24649
Not valid 24657
Not valid 24673
Not valid 24674
Not valid 24682
Not valid 24711
Not valid 24714
Not valid 24729
Not valid 24744
Not valid 24755
Not valid 24756
Not valid 24784
Not valid 24788
Not valid 24792
Not valid 24796
Not valid 24797
Not valid 24800
Not valid 24807
Not valid 24817
Not valid 24826
Not valid 24827
Not valid 24848
Not valid 24859
Not valid 24865
Not valid 24876
Not valid 24888
Not valid 24897
Not valid 24927
Not valid 24932
Not valid 24953
Not valid 24964
Not valid 24965
Not valid 24966
Not valid 24982
Not valid 25000
Not valid 25015
Not valid 25025
Not valid 25030
Not valid 25038
Not valid 25042
Not valid 25059
Not valid 25077
Not valid 25082
Not valid 25085
Not valid 25093
Not valid 25094
Not valid 25099
Not valid 25107
Not valid 25121
Not valid 25122
Not valid 25132
Not valid 25135
Not valid 25139
Not valid 25147
Not valid 25152
Not valid 25174
Not valid 25178
Not valid 25202
Not valid 25206
Not valid 25207
Not valid 25208
Not valid 25210
Not valid 25211
Not valid 25217
Not valid 25219
Not valid 25226
Not valid 25237
Not valid 25250
Not valid 25255
Not valid 25256
Not valid 25260
Not valid 25262
Not valid 25270
Not valid 25278
Not valid 25284
Not valid 25297
Not valid 25300
Not valid 25302
Not valid 25307
Not valid 25311
Not valid 25312
Not valid 25346
Not valid 25366
Not valid 25380
Not valid 25402
Not valid 25404
Not valid 25408
Not valid 25409
Not valid 25412
Not valid 25426
Not valid 25435
Not valid 25443
Not valid 25444
Not valid 25464
Not valid 25467
Not valid 25477
Not valid 25479
Not valid 25484
Not valid 25487
Not valid 25518
Not valid 25532
Not valid 25550
Not valid 25565
Not valid 25569
Not valid 25573
Not valid 25589
Not valid 25600
Not valid 25606
Not valid 25613
Not valid 25620
Not valid 25628
Not valid 25639
Not valid 25653
Not valid 25656
Not valid 25662
Not valid 25675
Not valid 25692
Not valid 25702
Not valid 25713
Not valid 25715
Not valid 25725
Not valid 25737
Not valid 25746
Not valid 25750
Not valid 25786
Not valid 25801
Not valid 25814
Not valid 25818
Not valid 25824
Not valid 25829
Not valid 25843
Not valid 25848
Not valid 25853
Not valid 25855
Not valid 25868
Not valid 25876
Not valid 25889
Not valid 25900
Not valid 25917
Not valid 25922
Not valid 25945
Not valid 25950
Not valid 25952
Not valid 25955
Not valid 25957
Not valid 26000
Not valid 26007
Not valid 26009
Not valid 26012
Not valid 26017
Not valid 26024
Not valid 26039
Not valid 26040
Not valid 26045
Not valid 26049
Not valid 26050
Not valid 26054
Not valid 26063
Not valid 26066
Not valid 26067
Not valid 26070
Not valid 26080
Not valid 26092
Not valid 26100
Not valid 26101
Not valid 26103
Not valid 26106
Not valid 26137
Not valid 26138
Not valid 26145
Not valid 26146
Not valid 26148
Not valid 26157
Not valid 26158
Not valid 26163
Not valid 26172
Not valid 26176
Not valid 26179
Not valid 26181
Not valid 26183
Not valid 26184
Not valid 26189
Not valid 26191
Not valid 26194
Not valid 26199
Not valid 26205
Not valid 26211
Not valid 26214
Not valid 26220
Not valid 26224
Not valid 26225
Not valid 26228
Not valid 26229
Not valid 26235
Not valid 26239
Not valid 26240
Not valid 26243
Not valid 26244
Not valid 26248
Not valid 26258
Not valid 26260
Not valid 26293
Not valid 26294
Not valid 26295
Not valid 26296
Not valid 26297
Not valid 26300
Not valid 26303
Not valid 26311
Not valid 26312
Not valid 26317
Not valid 26321
Not valid 26326
Not valid 26330
Not valid 26333
Not valid 26334
Not valid 26338
Not valid 26339
Not valid 26350
Not valid 26353
Not valid 26356
Not valid 26360
Not valid 26363
Not valid 26367
Not valid 26373
Not valid 26375
Not valid 26393
Not valid 26404
Not valid 26405
Not valid 26418
Not valid 26420
Not valid 26425
Not valid 26428
Not valid 26436
Not valid 26448
Not valid 26456
Not valid 26458
Not valid 26461
Not valid 26466
Not valid 26471
Not valid 26478
Not valid 26499
Not valid 26509
Not valid 26526
Not valid 26552
Not valid 26555
Not valid 26570
Not valid 26588
Not valid 26597
Not valid 26598
Not valid 26599
Not valid 26601
Not valid 26602
Not valid 26611
Not valid 26614
Not valid 26621
Not valid 26622
Not valid 26633
Not valid 26639
Not valid 26647
Not valid 26649
Not valid 26654
Not valid 26657
Not valid 26659
Not valid 26664
Not valid 26667
Not valid 26668
Not valid 26681
Not valid 26688
Not valid 26694
Not valid 26701
Not valid 26702
